"","module_id","module_title","module_hierarchy_level"
".137",i4x://PurdueX/nano515x/discussion/52b540e7a3d24248b0bd1dbdff2b2b17,"L2.2 Lecture Discussion ",4
".138",i4x://PurdueX/nano515x/vertical/7342f2a197644f868a3fbfe4f0237cd0,"L2.2 Quiz",3
".142",i4x://PurdueX/nano515x/discussion/5faea1cc99a2410b9c0757a156041ed4,"L2.2 Quiz Discussion",4
".144",i4x://PurdueX/nano515x/vertical/7f4db54bf5b54fa498ff0f83ebbe2afd,"L2.3 Lecture",3
".146",i4x://PurdueX/nano515x/html/cdf1a35e7b3e405b997ee096ccda3c7c,"L2.3 Table of Contents",4
".147",i4x://PurdueX/nano515x/discussion/12a7580eec1e42789b126aad6fb88c42,"L2.3 Lecture Discussion",4
".148",i4x://PurdueX/nano515x/vertical/edce86937e8f44f3a688cb496f887dfb,"L2.3 Quiz",3
".152",i4x://PurdueX/nano515x/discussion/6917d43db12e48f0a6d192ae8097b891,"L2.3 Quiz Discussion",4
".154",i4x://PurdueX/nano515x/vertical/84d712b732344b9ab453cc3850a7e8d5,"L2.4 Lecture",3
".156",i4x://PurdueX/nano515x/html/34bf0609cbdd430bb01c5e28b3a881a6,"L2.4 Table of Contents",4
".157",i4x://PurdueX/nano515x/discussion/75a984ff868f4e83ba0c48824319fc7a,"L2.4 Lecture Discussion ",4
".158",i4x://PurdueX/nano515x/vertical/9b0b7288eec5473e9c2f3aae258ebe70,"L2.4 Quiz",3
".162",i4x://PurdueX/nano515x/discussion/446178ccdd8e46319adcc688da016aef,"L2.4 Quiz Discussion ",4
".164",i4x://PurdueX/nano515x/vertical/d9d6bc973d8f4c4e912d23e77675a41e,"L2.5 Lecture",3
".166",i4x://PurdueX/nano515x/html/dd3cd0c79da34cb9a312c0339426ccea,"L2.5 Table of Contents",4
".167",i4x://PurdueX/nano515x/discussion/999c483c02914e13affd4cea6a72592a,"L2.5 Lecture Discussion",4
".168",i4x://PurdueX/nano515x/vertical/3f9cd5acaf6641f29f8223ea5097951a,"L2.5 Quiz",3
".172",i4x://PurdueX/nano515x/discussion/84f45abbf62849cb9afa06febb65bb82,"L2.5 Quiz Discussion ",4
".174",i4x://PurdueX/nano515x/vertical/0cc18fc3737745048497b2dd11b26558,"L2.1 - L2.5 Homework",3
".179",i4x://PurdueX/nano515x/discussion/7c26422f917f450e827fca78852da1d9,"Week 2: Homework Discussion ",4
".181",i4x://PurdueX/nano515x/vertical/7e4033f50fe64563849989aa7b6084d9,"L2.1 - L2.5 Tutorial Video and Solutions",3
".183",i4x://PurdueX/nano515x/html/2ac9044a029c4ccdbfb0a164b5e8caf9,"Week 2: Homework Tutorial Table of Contents",4
".184",i4x://PurdueX/nano515x/discussion/9634e0ef4dfa4364b708376e335c6d55,"Week 2: Homework Tutorial Discussion ",4
".186",i4x://PurdueX/nano515x/vertical/8fce3308a38a4924a91c094a4140ccc6,"Week 2: Exam",3
".200",i4x://PurdueX/nano515x/vertical/3dc93178167c4762ae7f9f81e33730ad,"L3.1 Lecture",3
".202",i4x://PurdueX/nano515x/html/230fe8e4026443989eb65485a786bf1b,"L3.1 Table of Contents",4
".203",i4x://PurdueX/nano515x/discussion/713c51c1168f4a3f8540e049568b2d0e,"L3.1 Lecture Discussion",4
".204",i4x://PurdueX/nano515x/vertical/a81eb41ee5d7489db3eabd7e5e3f0776,"L3.1 Quiz",3
".208",i4x://PurdueX/nano515x/discussion/35fc25052ca74f5a90683b65a55a3c99,"L3.1 Quiz Discussion",4
".210",i4x://PurdueX/nano515x/vertical/d2dd740e77424a4dae2041a5c49c54cf,"L3.2 Lecture",3
".212",i4x://PurdueX/nano515x/html/c8eb29e3ab194fcba1d95024356f8486,"L3.2 Table of Contents ",4
".213",i4x://PurdueX/nano515x/discussion/57dbf0071e8647b38ef16d3596287430,"L3.2 Lecture Discussion",4
".214",i4x://PurdueX/nano515x/vertical/07692d15594540148a1a26db35ee9d1c,"L3.2 Quiz",3
".218",i4x://PurdueX/nano515x/discussion/b13163dfd11a4b6cbb1332649d52fdbf,"L3.2 Quiz Discussion ",4
".220",i4x://PurdueX/nano515x/vertical/09395c80b17f4f218267b631f76e4dc7,"L3.3 Lecture",3
".222",i4x://PurdueX/nano515x/html/880986ad850340c193af479a62309542,"L3.3 Table of Contents",4
".223",i4x://PurdueX/nano515x/discussion/b4ffafd06cc74df2a041fb50b69a729b,"L3.3 Lecture Discussion",4
".224",i4x://PurdueX/nano515x/vertical/bd520b2143f141a7a92841f4ced0aadf,"L3.3 Quiz",3
".228",i4x://PurdueX/nano515x/discussion/df03c73d44c94533bb692176a9fd5c94,"L3.3 Quiz Discussion",4
".230",i4x://PurdueX/nano515x/vertical/7b9896ca35014d92b3503217afbb464f,"L3.4 Lecture",3
".232",i4x://PurdueX/nano515x/html/33f88e7a991644c98497774b857faec5,"L3.4 Table of Contents ",4
".233",i4x://PurdueX/nano515x/discussion/4603567a0c7a4dd781689530a7ab45da,"L3.4 Lecture Discussion ",4
".234",i4x://PurdueX/nano515x/vertical/2f50fa90c64b47be879a73264deafe7d,"L3.4 Quiz",3
".237",i4x://PurdueX/nano515x/discussion/908370a0f6484112b8f7fdb6f70ecbca,"L3.4 Quiz Discussion",4
".239",i4x://PurdueX/nano515x/vertical/c390887d12e84577b760cb36682f9981,"L3.5 Lecture",3
".241",i4x://PurdueX/nano515x/html/f22074ad970e4c87adf0ac39073e4590,"L3:5 Table of Contents",4
".242",i4x://PurdueX/nano515x/discussion/2a3acd035aaf43f5b438dc36a9779104,"L3.5 Lecture Discussion",4
".243",i4x://PurdueX/nano515x/vertical/cf0dd0359a37439193bd05b034416369,"L3.5 Quiz",3
".247",i4x://PurdueX/nano515x/discussion/7b02c6044fcb4cc6949b0b7897ed6eba,"L3.5 Quiz Discussion ",4
".249",i4x://PurdueX/nano515x/vertical/f1efec71c398462e841d6a17ccaf6cd5,"L3.1 - L3.5: Homework",3
".255",i4x://PurdueX/nano515x/discussion/9d40fbdc065748959c8671283016c339,"Week 3: Homework Discussion",4
".257",i4x://PurdueX/nano515x/vertical/d16d2e4b65b0462b95131973618fabc4,"L3.1 - L3.5 Tutorial Video and Solution",3
".259",i4x://PurdueX/nano515x/html/36f09d6195e648999b92c33435766b79,"Week 3: Tutorial Table of Contents",4
".260",i4x://PurdueX/nano515x/discussion/2a8ddbdd092141c393662946eee11716,"Week 3: Homework Tutorial Discussion",4
".262",i4x://PurdueX/nano515x/vertical/f54f37d867eb471fbbeb95cc187b025d,"Week 3: Exam",3
".274",i4x://PurdueX/nano515x/vertical/6735a2c3c3604500bf8ee4af492c533d,"L4.1 Lecture",3
".276",i4x://PurdueX/nano515x/html/7af53107507d4f4497b35b223792fe02,"L4.1 Table of Contents",4
".277",i4x://PurdueX/nano515x/discussion/83745596d7ed4ef9bd10e8ad1cfd630d,"L4.1 Lecture Discussion",4
".278",i4x://PurdueX/nano515x/vertical/bf420bfbc4a24acdb6ed21355284e267,"L4.1 Quiz",3
".282",i4x://PurdueX/nano515x/discussion/a38278fb63964f688fef5e8136e77dc6,"L4.1 Quiz Discussion",4
".284",i4x://PurdueX/nano515x/vertical/aebd839aba6644e88aa58b425680de8b,"L4.2 Lecture",3
".286",i4x://PurdueX/nano515x/html/fe04885056594629a04ef4cef180e365,"L4.2 Table of Contents",4
".287",i4x://PurdueX/nano515x/discussion/978fb3d4c335499784516f58abdd3e00,"L4.2 Lecture Discussion",4
".288",i4x://PurdueX/nano515x/vertical/930dfc7f850c4f3b8cfcfe23595258a7,"L4.2 Quiz",3
".292",i4x://PurdueX/nano515x/discussion/8b43cba5aba048eba518192656688912,"L4.2 Quiz Discussion",4
".294",i4x://PurdueX/nano515x/vertical/df36a344541e434a9342b175534bbeb5,"L4.3 Lecture",3
".296",i4x://PurdueX/nano515x/html/1ed62ef1d94446c3a5e672b4bf4feac8,"L4.3 Table of Contents",4
".297",i4x://PurdueX/nano515x/discussion/a8db41dbc439439c8c6a5abe95b4866a,"L4.3 Lecture Discussion",4
".298",i4x://PurdueX/nano515x/vertical/ad7ad0a090eb42fe95c0a03c25070e35,"L4.3 Quiz",3
".302",i4x://PurdueX/nano515x/discussion/0a4ff2e7a9234b1c998ec094f0886ceb,"L4.3 Quiz Discussion",4
".304",i4x://PurdueX/nano515x/vertical/0a0e4799b6c44f319c6ff4c00173c95d,"L4.4 Lecture",3
".306",i4x://PurdueX/nano515x/html/f6dd131eaa4b47ffb6be0bc872bc132f,"L4.4 Table of Contents",4
".307",i4x://PurdueX/nano515x/discussion/3a886e6b985d401a952485e644b3784b,"L4.4 Lecture Discussion",4
".308",i4x://PurdueX/nano515x/vertical/d026162dc5f44d78b98073eb536b69fb,"L4.4 Quiz",3
