"","orig_student_id","module_number","time","temp_student_id"
"1",121954,1,2015-03-10 10:01:56,1
"2",121954,0,2015-03-10 10:01:56,1
"3",121954,2,2015-03-10 10:01:56,1
"4",4859764,6,2015-02-03 14:31:20,2
"5",4859764,1,2015-02-03 14:12:13,2
"6",4859764,0,2015-02-03 14:12:13,2
"7",4859764,162,2015-03-02 21:04:32,3
"8",4859764,52,2015-02-12 16:00:53,3
"9",4859764,232,2015-03-02 21:04:34,3
"10",4859764,37,2015-02-12 16:00:52,3
"11",4859764,138,2015-03-02 21:04:31,3
"12",4859764,238,2015-03-02 21:04:34,3
"13",4859764,36,2015-02-12 16:00:52,3
"14",4859764,85,2015-03-02 21:04:30,3
"15",4859764,72,2015-03-02 21:04:29,3
"16",4859764,99,2015-03-02 21:04:30,3
"17",4859764,183,2015-03-02 21:04:32,3
"18",4859764,105,2015-03-02 21:04:31,3
"19",4859764,21,2015-03-02 21:04:29,3
"20",4859764,111,2015-03-02 21:04:31,3
"21",4859764,212,2015-03-02 21:04:33,3
"22",4859764,199,2015-03-02 21:04:33,3
"23",4859764,259,2015-03-02 21:04:35,3
"24",4859764,263,2015-03-02 21:04:34,3
"25",4859764,213,2015-03-02 21:04:33,3
"26",4859764,117,2015-03-02 21:04:31,3
"27",4859764,188,2015-03-02 21:04:33,3
"28",4859764,104,2015-03-02 21:04:31,3
"29",4859764,168,2015-03-02 21:04:32,3
"30",4859764,33,2015-02-12 16:00:52,3
"31",4859764,29,2015-02-12 16:01:23,3
"32",4859764,173,2015-03-02 21:04:32,3
"33",4859764,43,2015-02-12 16:00:53,3
"34",4859764,211,2015-03-02 21:04:33,3
"35",4859764,69,2015-03-02 21:04:29,3
"36",4859764,159,2015-03-02 21:04:32,3
"37",4859764,148,2015-03-02 21:04:32,3
"38",4859764,124,2015-03-02 21:04:31,3
"39",4859764,157,2015-03-02 21:04:32,3
"40",4859764,90,2015-03-02 21:04:30,3
"41",4859764,39,2015-02-12 16:00:53,3
"42",4859764,65,2015-03-02 21:04:30,3
"43",4859764,16,2015-03-02 21:04:29,3
"44",4859764,233,2015-03-02 21:04:34,3
"45",4859764,80,2015-03-02 21:04:30,3
"46",4859764,50,2015-02-12 16:00:53,3
"47",4859764,31,2015-02-12 16:01:23,3
"48",4859764,135,2015-03-02 21:04:31,3
"49",4859764,224,2015-03-02 21:04:34,3
"50",4859764,66,2015-03-02 21:04:29,3
"51",4859764,71,2015-03-02 21:04:29,3
"52",4859764,45,2015-02-12 16:00:53,3
"53",4859764,227,2015-03-02 21:04:34,3
"54",4859764,110,2015-03-02 21:04:31,3
"55",4859764,147,2015-03-02 21:04:32,3
"56",4859764,253,2015-03-02 21:04:35,3
"57",4859764,156,2015-03-02 21:04:32,3
"58",4859764,262,2015-03-02 21:04:35,3
"59",4859764,14,2015-03-02 21:04:29,3
"60",4859764,176,2015-03-02 21:04:32,3
"61",4859764,228,2015-03-02 21:04:34,3
"62",4859764,34,2015-02-12 16:00:52,3
"63",4859764,116,2015-03-02 21:04:31,3
"64",4859764,94,2015-03-02 21:04:30,3
"65",4859764,217,2015-03-02 21:04:34,3
"66",4859764,207,2015-03-02 21:04:33,3
"67",4859764,264,2015-03-02 21:04:34,3
"68",4859764,150,2015-03-02 21:04:32,3
"69",4859764,197,2015-03-02 21:04:33,3
"70",4859764,51,2015-02-12 16:00:53,3
"71",4859764,187,2015-03-02 21:04:33,3
"72",4859764,200,2015-03-02 21:04:33,3
