"","temp_student_id","number_accesses"
"455",455,4
"456",456,15
"457",457,238
"458",458,10
"459",459,11
"460",460,6
"461",461,96
"462",462,4
"463",463,3
"464",464,59
"465",465,10
"466",466,67
"467",467,16
"468",468,62
"469",469,242
"470",470,10
"471",471,95
"472",472,27
"473",473,3
"474",474,3
"475",475,9
"476",476,17
"477",477,80
"478",478,3
"479",479,263
"480",480,3
"481",481,97
"482",482,13
"483",483,3
"484",484,4
"485",485,63
"486",486,3
"487",487,4
"488",488,9
"489",489,90
"490",490,237
"491",491,10
"492",492,3
"493",493,9
"494",494,231
"495",495,267
"496",496,66
"497",497,111
"498",498,43
"499",499,12
"500",500,106
"501",501,91
"502",502,153
"503",503,3
"504",504,118
"505",505,95
"506",506,2
"507",507,88
"508",508,36
"509",509,95
"510",510,202
"511",511,146
"512",512,125
"513",513,228
"514",514,30
"515",515,88
"516",516,4
"517",517,8
"518",518,3
"519",519,233
"520",520,3
"521",521,246
"522",522,117
"523",523,157
"524",524,26
"525",525,84
"526",526,214
"527",527,3
"528",528,58
"529",529,14
"530",530,2
"531",531,157
"532",532,26
"533",533,58
"534",534,3
"535",535,235
"536",536,231
"537",537,123
"538",538,17
"539",539,62
"540",540,5
"541",541,3
"542",542,171
"543",543,9
"544",544,75
"545",545,15
"546",546,41
"547",547,3
"548",548,111
"549",549,218
"550",550,8
"551",551,118
"552",552,8
"553",553,216
"554",554,206
"555",555,9
"556",556,5
"557",557,9
"558",558,10
"559",559,3
"560",560,3
"561",561,3
"562",562,51
"563",563,3
"564",564,4
"565",565,31
"566",566,11
"567",567,30
"568",568,4
"569",569,244
"570",570,9
"571",571,209
"572",572,75
"573",573,122
"574",574,9
"575",575,5
"576",576,18
"577",577,3
"578",578,125
"579",579,59
"580",580,34
"581",581,9
"582",582,104
"583",583,194
"584",584,10
"585",585,4
"586",586,59
"587",587,4
"588",588,9
"589",589,3
"590",590,15
"591",591,8
"592",592,240
"593",593,4
"594",594,267
"595",595,62
"596",596,11
"597",597,95
"598",598,13
"599",599,3
"600",600,109
"601",601,5
"602",602,35
"603",603,60
"604",604,55
"605",605,122
"606",606,126
"607",607,57
"608",608,33
"609",609,4
"610",610,12
"611",611,3
"612",612,66
"613",613,8
"614",614,35
"615",615,3
"616",616,9
"617",617,75
"618",618,4
"619",619,164
"620",620,25
"621",621,5
"622",622,6
"623",623,18
"624",624,26
"625",625,18
"626",626,3
"627",627,65
"628",628,12
"629",629,94
"630",630,121
"631",631,58
"632",632,59
"633",633,61
"634",634,87
"635",635,122
"636",636,6
"637",637,63
"638",638,11
"639",639,12
"640",640,3
"641",641,133
"642",642,4
"643",643,3
"644",644,25
"645",645,4
"646",646,22
"647",647,86
"648",648,63
"649",649,9
"650",650,12
"651",651,4
"652",652,255
"653",653,63
"654",654,4
"655",655,11
"656",656,12
"657",657,65
"658",658,3
"659",659,3
"660",660,45
"661",661,123
"662",662,64
"663",663,9
"664",664,4
"665",665,179
"666",666,199
"667",667,3
"668",668,45
"669",669,45
"670",670,37
"671",671,133
"672",672,126
"673",673,4
"674",674,45
"675",675,3
"676",676,94
"677",677,191
"678",678,4
"679",679,3
"680",680,3
"681",681,13
"682",682,152
"683",683,106
"684",684,197
"685",685,3
"686",686,124
"687",687,3
"688",688,5
"689",689,4
"690",690,94
"691",691,93
"692",692,202
"693",693,5
"694",694,4
"695",695,11
"696",696,166
"697",697,41
"698",698,11
"699",699,197
"700",700,242
"701",701,93
"702",702,232
"703",703,191
"704",704,8
"705",705,66
"706",706,4
"707",707,199
"708",708,194
"709",709,117
"710",710,57
"711",711,9
"712",712,58
"713",713,23
"714",714,14
"715",715,95
"716",716,68
"717",717,92
"718",718,96
"719",719,4
"720",720,3
"721",721,4
"722",722,130
"723",723,3
"724",724,8
"725",725,34
"726",726,4
"727",727,3
"728",728,65
"729",729,43
"730",730,9
"731",731,245
"732",732,67
"733",733,9
"734",734,166
"735",735,26
"736",736,92
"737",737,27
"738",738,4
"739",739,63
"740",740,4
"741",741,193
"742",742,176
"743",743,3
"744",744,6
